id	topic_id	thread_id	type	formula
q_1	A.1	3062860	title	c
q_2	A.1	3062860	title	f(x) = \frac{x^2 + x + c}{x^2 + 2x + c}
q_3	A.1	3062860	title	[-1, -\frac{1}{3}]
q_4	A.1	3062860	question	f(x)= \frac{x^2 + x + c}{x^2 + 2x + c}
q_5	A.1	3062860	question	c
q_6	A.1	3062860	question	f(x)
q_7	A.1	3062860	question	[-1, -\frac{1}{3}]
q_8	A.2	3069579	title	f'(x)=f(x+1)
q_9	A.2	3069579	question	\frac{df}{dx} = f(x+1)
q_10	A.3	3073397	title	\sqrt{5}
q_11	A.3	3073397	title	10^{-10}
q_12	A.3	3073397	question	\sqrt{5}
q_13	A.3	3073397	question	10^{-10}
q_14	A.3	3073397	question	\sqrt{5}
q_15	A.3	3073397	question	x
q_16	A.3	3073397	question	f(x)
q_17	A.3	3073397	question	a
q_18	A.3	3073397	question	b
q_19	A.3	3073397	question	[a, b]
q_20	A.3	3073397	question	f(a)
q_21	A.3	3073397	question	f(b)
q_22	A.4	3083227	question	\sum_{k=0}^{n} \binom{n}{k} k
q_23	A.4	3083227	question	n 2^{n-1}
q_24	A.5	3111785	question	P((2)|(1))=\frac{P((2) \cap (1))}{P((1))}=\frac{P((2))P((1))}{P((1))} = P((2))
q_25	A.6	3116896	question	 5^{133} \mod 8. 
q_26	A.6	3116896	question	5^n \mod 8 = 5
q_27	A.6	3116896	question	n
q_28	A.6	3116896	question	5^{133} \mod 8 = 5
q_29	A.7	3122632	title	\frac{11^\text{10}-1}{100}
q_30	A.7	3122632	question	11^\text{10}-1
q_31	A.7	3122632	question	100
q_32	A.7	3122632	question	x
q_33	A.7	3122632	question	11^\text{10}-1 = x \pmod{100}
q_34	A.7	3122632	question	11^\text{2} \equiv 21 \pmod{100}
q_35	A.7	3122632	question	(11^\text{2})^\text{2} \equiv (21)^\text{2} \pmod{100}
q_36	A.7	3122632	question	11^\text{4} \equiv 441 \pmod{100}
q_37	A.7	3122632	question	11^\text{4} \equiv 41 \pmod{100}
q_38	A.7	3122632	question	(11^\text{4})^\text{2} \equiv (41)^\text{2} \pmod{100}
q_39	A.7	3122632	question	11^\text{8} \equiv 1681 \pmod{100}
q_40	A.7	3122632	question	11^\text{8} \equiv 81 \pmod{100}
q_41	A.7	3122632	question	11^\text{8} × 11^\text{2} \equiv (81×21) \pmod{100}
q_42	A.7	3122632	question	11^\text{10} \equiv 1701 \pmod{100} \implies 11^\text{10} \equiv 1 \pmod{100}
q_43	A.7	3122632	question	11^\text{10} -1 \equiv (1-1) \pmod{100} \implies 11^\text{10} - 1 \equiv 0 \pmod{100}
q_44	A.7	3122632	question	x
q_45	A.7	3122632	question	x = 0
q_46	A.7	3122632	question	11^\text{10}-1
q_47	A.7	3122632	question	100
q_48	A.8	3142655	title	\lim_{n\rightarrow \infty}\sqrt[n]{\frac{(27)^n(n!)^3}{(3n)!}}
q_49	A.8	3142655	question	\lim_{n\rightarrow \infty}\sqrt[n]{\frac{(27)^n(n!)^3}{(3n)!}}
q_50	A.8	3142655	question	\displaystyle l=\lim_{n\rightarrow \infty}\bigg(\frac{(27)^n(n!)^3}{(3n)!}\bigg)^{\frac{1}{n}}
